# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	828
#@/user_id	4ef5143e-acfc-4ed9-b93f-e786562bc1fe
a 	啊	c=6 d=2.38283 t=828
a wei 	阿偉	c=0 d=0.1 t=695
a wei si le 	阿偉死了	c=1 d=1 t=696
an 	按	c=0 d=0.0814647 t=828
an bu liao 	按不了	c=1 d=0.818731 t=828
an zhuang 	安裝	c=4 d=2.70692 t=782
ao lian 	奧鏈	c=1 d=1 t=784
ba 	吧	c=2 d=1.21438 t=654
ba ha mu te 	巴哈姆特	c=1 d=1 t=760
ba wo 	把握	c=1 d=1 t=393
bai 	白	c=1 d=0.752014 t=828
ban 	版	c=1 d=1.04991 t=690
ban ben 	版本	c=1 d=1 t=466
ban gong 	辦公	c=0 d=0.1 t=381
ban gong shu 	辦公鼠	c=1 d=1 t=382
ban nian 	半年	c=1 d=1.19312 t=660
ban nian hou 	半年後	c=1 d=1 t=655
ban ye 	半夜	c=1 d=1 t=626
bang chui 	棒槌	c=1 d=1.09501 t=775
bao li 	暴力	c=0 d=0.0603506 t=828
bao li xiong 	暴力熊	c=2 d=1.22842 t=828
bao liu 	保留	c=1 d=1.01786 t=828
bao liu liang wei xiao shu 	保留兩位小數	c=1 d=0.918512 t=828
bao liu xiao shu 	保留小數	c=1 d=1 t=828
bao lu 	暴露	c=1 d=1 t=323
bao zhuang 	包裝	c=1 d=1 t=598
bi 	比	c=4 d=2.3115 t=804
bi feng 	逼瘋	c=1 d=1 t=757
bi ji ben 	筆記本	c=0 d=0.0631284 t=828
bi jiao 	比較	c=1 d=1 t=292
bi jing 	畢竟	c=1 d=1.05406 t=602
bi jing hen zhu guan 	畢竟很主觀	c=1 d=1 t=480
bian ji qi 	編輯器	c=1 d=0.774916 t=828
biao ge 	表格	c=1 d=1 t=330
bie 	別	c=1 d=0.927743 t=828
bie ren 	別人	c=1 d=1 t=559
bing fa 	併發	c=1 d=1 t=633
bing jia 	病假	c=2 d=1.98511 t=775
bu bu 	不補	c=0 d=0.1 t=670
bu cuo de 	不錯的	c=0 d=0.1 t=338
bu gan 	不敢	c=0 d=0.1 t=443
bu jia 	不加	c=1 d=1 t=581
bu jie yi 	不介意	c=0 d=0.0704688 t=828
bu jiu 	不久	c=0 d=0.1 t=347
bu lei 	不累	c=1 d=0.794534 t=828
bu liao 	不了	c=0 d=0.0814647 t=828
bu neng 	不能	c=1 d=1 t=456
bu ran 	不然	c=1 d=1 t=636
bu shi 	不是	c=1 d=1 t=669
bu xing 	不行	c=1 d=1 t=258
bu xing a 	不行啊	c=1 d=1 t=533
bu yao 	不要	c=1 d=1 t=539
bu yao mai 	不要買	c=1 d=0.740818 t=828
bu yong 	不用	c=1 d=0.869358 t=828
bu zai yi 	不在意	c=1 d=0.697676 t=828
bu zen me yang 	不怎麼樣	c=1 d=1 t=246
bu zheng que 	不正確	c=0 d=0.1 t=206
bu zhi dao 	不知道	c=1 d=1 t=208
cai zhi dao 	才知道	c=1 d=1 t=434
can 	慘	c=0 d=0.1 t=293
ce shi 	測試	c=3 d=1.77475 t=828
ce shi yu ju liu 	測試語句流	c=1 d=0.644036 t=828
cha bu duo 	差不多	c=0 d=0.1 t=657
cha yuan 	差遠	c=0 d=0.1 t=600
cha yuan le 	差遠了	c=1 d=1 t=601
chao pin 	超頻	c=0 d=0.0774916 t=828
cheng fang 	乘方	c=1 d=0.729789 t=828
chu 	出	c=0 d=0.119301 t=701
chu fei 	除非	c=3 d=1.53826 t=828
chu ge 	出個	c=1 d=1 t=688
chu gui 	出軌	c=1 d=1 t=634
chu le 	除了	c=2 d=1.71534 t=452
chuan di 	傳遞	c=1 d=1 t=327
chuan gan qi 	傳感器	c=4 d=3.42998 t=440
chui 	吹	c=1 d=1 t=751
chui 	鎚	c=1 d=1 t=777
chui bao 	鎚爆	c=1 d=1 t=780
chui zi 	錘子	c=1 d=0.99005 t=828
ci dian 	詞典	c=1 d=1 t=828
cong na 	從那	c=0 d=0.1 t=504
cong na yi hou 	從那以後	c=1 d=1 t=505
cuo shi 	措施	c=0 d=0.0657047 t=828
da 	打	c=1 d=1 t=302
da chang 	大廠	c=1 d=1 t=567
da de 	打得	c=1 d=1 t=245
da gai 	大概	c=2 d=1.14257 t=822
da gai zuo le 	大概做了	c=1 d=1 t=823
da han 	大喊	c=0 d=0.1 t=619
da han yi sheng 	大喊一聲	c=1 d=1 t=620
da he yi sheng 	大喝一聲	c=1 d=1 t=622
da jia 	大家	c=1 d=1 t=304
da xie 	大寫	c=1 d=0.802519 t=828
da you xi 	打遊戲	c=1 d=1 t=364
da zi 	打字	c=2 d=1.95123 t=352
dai 	帶	c=2 d=0.868193 t=828
dai 	貸	c=0 d=0.1 t=791
dai bang chui 	帶棒槌	c=1 d=1 t=776
dai xin 	帶薪	c=1 d=1 t=771
dan shi 	但是	c=5 d=0.951229 t=828
dan shi wo 	但是我	c=1 d=0.980199 t=828
dan shuo 	單說	c=1 d=1 t=748
dang 	當	c=2 d=1.34473 t=594
